voteAccount,stakePriority,totalActivatedStakeSol,bondBalanceSol,bidCpmpe,marinadeStake_710,marinadeStake_711,stakeChange,stakeChangeAbs
FGj3nQTn2Lwe9KkaKnFGm4HcxLSh8B8TjpvP4CinP4iX,27.0,94878.021,50.535,0.35,37720.576,38183.567,462.991,462.991
9esjPxaUdD7yg4yDrBkP3jLipcAGVjpLDXsddF89avzW,27.0,54378.987,50.396,0.35,37616.89,38078.608,461.717,461.717
1Dadio3JRvpEjY6iSmXmhbGy9RiU8Nxh2GmoVbNusbE,21.0,272035.653,51.62,0.36,38004.983,38466.19,461.207,461.207
3FLezD8GJgnawEHhZcsjdPxZVar9FzqEdViusQ5ZdSwe,27.0,32926.557,50.102,0.35,37397.279,37856.355,459.076,459.076
4aFj9VyXDrqU4TnKWnMVuPaAVTaF4GZLLKZN2iZivW29,72.0,81452.088,22.358,0.17,22987.83,23411.477,423.647,423.647
G1itch7djMvG4vMRToAgs45cVqrLGKFbzrgV4qNDsG1X,39.0,157736.754,34.464,0.35,26149.757,26467.547,317.79,317.79
BK5Km4MyuncoBWKCM9y3zntA1JjhdqNcHd3mxitms4Xo,6.0,226683.073,33.778,0.416,22747.082,23024.123,277.04,277.04
4gg56BTsCSEXW3CLw7BuT31x3ptEjSz6aeVE1Xjby22R,39.0,55486.21,21.248,0.35,16122.32,16321.295,198.975,198.975
C6o1toH7rriz2DocmgTw6JzFbJdLpQ9w2QsjeKQQinfZ,96.0,88372.452,54.634,0.125,60705.814,60522.387,-183.427,183.427
1KXz4xKV2viJCGpxqnQqdf2J45vQr5USdmtcJLTaHkm,76.0,256008.661,9.385,0.154,9916.387,10088.08,171.693,171.693
93cas2LuLsSAGPpFvHdeaWprR34NLQbgiQEeAtizpMmz,51.0,91481.342,14.625,0.3,12007.748,12168.736,160.988,160.988
91413b9eEvG6UofpSgwdUgH9Lz4QBF1G3J325Bw7JwGR,44.0,40393.22,12.228,0.3,9808.22,9944.101,135.881,135.881
1234LB7uvDC23rdCQoK8C3jNwnovUNyeKxz8wC3dghJ5,92.0,182107.513,4.367,0.16,4655.734,4738.305,82.57,82.57
3teZKwABvB99bxZc5q8yVWJt5mbhxgUAx4teMdUbzgN4,56.0,19877.076,3.115,0.25,2736.296,2775.65,39.354,39.354
AMvyqeuRBxcDuy38MuGtPksvBtpuT3NPyoiVBDbzza6P,54.0,88866.422,0.023,0.273,19.771,20.038,0.267,0.267
GQ8DSRSNCFGEdCEwc6em1ma18qSPc5cXCSDnSPSznWBP,46.0,271492.82,0.019,0.3,15.276,15.474,0.198,0.198
