voteAccount,totalPmpe,marinadeSamTargetSol,marinadeActivatedStakeSol_710,marinadeActivatedStakeSol_711,stakeChange
6F5xdRXh2W3B2vhte12VG79JVUkUSLYrHydGX1SAadfZ,0.0,0.0,0.0,0.0,0.0
AzbQjKoLepbDS8C6hgkRY7UCRwbwZZ9HqdtnWyef9WjX,0.0,0.0,0.0,0.0,0.0
7KVnUL45FH4N8Z7x1dnvJ7GzMx12cs81mS26mHzNjQPN,0.0,0.0,0.0,0.0,0.0
GRt2mJZKpK9WXph5HGg4pdgewCYLKitRRSiTkrtHLXV8,0.0,0.0,0.0,0.0,0.0
AS3nKBQfKs8fJ8ncyHrdvo4FDT6S8HMRhD75JjCcyr1t,0.0,0.0,0.0,0.0,0.0
Bkskrv38Kn7zJR5mvmbCDGn2M4Jyhzt2ZqwQXV6rYnXa,0.0,0.0,0.0,0.0,0.0
Chorus6Kis8tFHA7AowrPMcRJk3LbApHTYpgSNXzY5KE,0.0,0.0,0.0,0.0,0.0
DsiG71AvUHUEo9rMMHqM9NAWQ6ptguRAHyot6wGzLJjx,0.0,0.0,0.0,0.0,0.0
DMSuZcavta8L1w1tSiH8bALWjz6Q6KSryGG6m6Az4Qt5,0.0,0.0,0.0,0.0,0.0
mrgn6ETrBDM8mjjYN8rbVwFqVwF8z6rtmvGLbdGuVUU,0.0,0.0,0.0,0.0,0.0
FsT844wGgZg7MLR9Uc9T9qHQxmSoFVanhfgAEQvS966r,0.0,0.0,0.0,0.0,0.0
EARNynHRWg6GfyJCmrrizcZxARB3HVzcaasvNa8kBS72,0.0,0.0,0.0,0.0,0.0
FQwewNXahV7MiZcLpY6p1xhUs2acVGQ3U5Xxc7FzV571,0.0,0.0,0.0,0.0,0.0
8hPk5CbKDoM7dN9LssTdVkFhDykeq7A8CZurA5AQSFJH,0.0,0.0,0.0,0.0,0.0
A3ahHFBFkPkuLMhxLGEnKVVZu2J6Qy8Z7z2zozyXGhw2,0.0,0.0,0.0,0.0,0.0
8uEgdseqbUrDLfmHbUpTHoH1LLRxeViYDk7K6NdXKRYM,0.0,0.0,0.0,0.0,0.0
3tUZu4CkwMLwYdosoGc85n48VgDMyxZVkL1VUJc7DrxW,0.0,0.0,0.0,0.0,0.0
7S9dHgoeMYvtShTjEC3x5D3THRDQz123WVGPseZsm3hm,0.0,0.0,0.0,0.0,0.0
Pond1QyT1sQtiru3fi9G5LGaLRGeUpJKR1a2gdbq2u4,0.0,0.0,0.0,0.0,0.0
8zHJtME22tiY3UsSHtDJXo2J8hUfwikBxXNbVqQzA92r,0.0,0.0,0.0,0.0,0.0
J21SMPFJEY9ExCDPiSJQXN23PVSeoQe3LnKD7QcP3bgP,0.0,0.0,0.0,0.0,0.0
5sMmkL4BXjU6vZXQxE3RquH2CR8v8Zbfi1EAAFxLfxMx,0.0,0.0,0.0,0.0,0.0
5orRi4tMEGneZ9U2y381JnBEnsqFJDBSNQLhBn98Bkcv,0.0,0.0,0.0,0.0,0.0
HM5H6FAYWEMcm9PCXFbbiUFfFVLTN9UGy9AqmMQjdMRA,0.0,0.0,0.0,0.0,0.0
7opSZGmevWhRDyLt5Wu38FZFjUyredGmMki4DNmxDnjd,0.0,0.0,0.0,0.0,0.0
Va1idkzkB6LEmVFmxWbWU8Ao9qehC62Tjmf68L3uYKj,0.0,0.0,0.0,0.0,0.0
RBFvvcGPBpgkBYmJGsphoDQJD8sszSuorM7TorWm12Y,0.0,0.0,0.0,0.0,0.0
juicQdAnksqZ5Yb8NQwCLjLWhykvXGktxnQCDvMe6Nx,0.0,0.0,0.0,0.0,0.0
AiDoLYTz5CVN3ZLzqDWRtaGUaHGzDnWMeC6KCNYJPqFX,0.0,0.0,0.0,0.0,0.0
voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd,0.0,0.0,0.0,0.0,0.0
