voteAccount,stakePriority,totalActivatedStakeSol,bondBalanceSol,bidCpmpe,marinadeStake_711,marinadeStake_712,stakeChange,stakeChangeAbs
DPmsofVJ1UMRZADgwYAHotJnazMwohHzRHSoomL6Qcao,2.0,142267.541,0.011,0.5,6.633,1.401,-5.232,5.232
21wUViiyG1g47VZ39ZZsSkFX9nu6bkyfy6jryHGD2TUB,7.0,205688.053,0.005,0.42,3.281,1.567,-1.714,1.714
3FLezD8GJgnawEHhZcsjdPxZVar9FzqEdViusQ5ZdSwe,24.0,36194.679,50.122,0.35,37856.355,37855.342,-1.013,1.013
AuBB9st3RqhHBkzZgBSm6SVnHZNJQSHeBWCSkik4bzdA,70.0,105383.679,0.002,0.16,2.415,2.431,0.016,0.016
eondcw2upjH14EuvBzmn6HfGEGo8t9hG9JbXtPj6cym,45.0,217213.061,0.002,0.3,1.867,1.876,0.009,0.009
Gvt8s5Bwnhg4G27VbnT1Zkfh7Jsztq6CNvZcc5anPonS,68.0,57282.048,0.0,0.18,0.0,0.0,0.0,0.0
5HScvYkTWL9iojhPv26xK7GqB7oBsj9A2qHCeNRFmdyG,96.0,198947.633,103.009,0.135,70000.0,70000.0,0.0,0.0
DPhzpiNGU9C6576uLsNSHmdi2AxwxpjMsRdh2iVC4TPh,77.0,174752.903,0.0,0.15,0.0,0.0,0.0,0.0
DUCKsGEPEdNv9QeskPNwoJdWgAXjxUFrkNDEKjAnLWyY,73.0,305753.026,81.129,0.15,80000.0,80000.0,0.0,0.0
H7JJ6aE73ufbUuDCZSQMxguQsj28XHe4VQyMk2hsVGoo,73.0,321401.521,85.436,0.15,90000.0,90000.0,0.0,0.0
2Gife8andd4BkEbT5CncpriPxmQYqbspDh8cXkN6RUSH,73.0,316986.67,85.86,0.15,90000.0,90000.0,0.0,0.0
CaraHZBReeNNYAJ326DFsvy41M2p1KWTEoBAwBL6bmWZ,73.0,196197.703,98.468,0.15,100000.0,100000.0,0.0,0.0
Simpj3KyRQmpRkXuBvCQFS7DBBG6vqw93SkZb9UD1hp,66.0,214579.612,141.637,0.17,10000.0,10000.0,0.0,0.0
8wEfU2LDRFTJf57fv1FutTkp8LEW7cR2m5L7ZNNXXMCT,80.0,4236.767,53.424,0.135,50000.0,50000.0,0.0,0.0
6wrzzX8hhhwY8NVtZWJqYJJfqnkDiFq6qTZEKLv3SjZk,78.0,4288.616,97.157,0.136,50000.0,50000.0,0.0,0.0
8D8XL6ovqx15RKwC1XtFyTz6H8JYF2fUsxTnsY4b123P,67.0,207638.145,87.093,0.161,30000.0,30000.0,0.0,0.0
FdGcvmbpebUwYA3vSywnagsaC3Tq3pAVmcR6VoxVcdV9,1.0,175533.222,10.369,100000.0,0.052,0.052,0.0,0.0
GNajgJGjkdnmZTRGZzsQ4P4eL54gHRMfDDLyZpnZYmUy,65.0,26281.085,131.631,0.18,100000.0,100000.0,0.0,0.0
GaxxAn5335dA4U3772MCFeqdyqCVEfmsQTQ47YXfC2Xi,25.0,227574.972,64.379,0.35,12288.0,12288.0,0.0,0.0
Anv7J9kMdJWr1aU6rQvQyd24zBp5GscP8NeDpRqGKz8e,31.0,27588.165,110.648,0.36,10000.0,10000.0,0.0,0.0
3tjGkvUsNEk8UBUQECCTpeAoo6NovHvEG44MZDPCcZko,31.0,27717.829,34.85,0.36,10000.0,10000.0,0.0,0.0
HMLfMHdETcGSqPGAr38rSiwewsSZvLPMMPALc5pggtiW,30.0,29941.331,33.838,0.361,20000.0,20000.0,0.0,0.0
BBGumW2W9u8NEpkKeK4Gq1dCL2dUzAcLVPoPFYHwHHjm,29.0,228930.445,66.061,0.341,10370.0,10370.0,0.0,0.0
8ztfVJM7Yf7CMXqTGMGBkXmTkGCiJTgVfh1CYDZZND5b,28.0,15930.716,49.612,0.36,10000.0,10000.0,0.0,0.0
HU4xMHgk192zcjHgyPQ3ZbuNx5Wycg89pFDbeuCKBV3B,26.0,36073.76,92.412,0.37,30000.0,30000.0,0.0,0.0
